date,counts
2019-10-06,<1
2019-10-13,<1
2019-10-20,<1
2019-10-27,<1
2019-11-03,<1
2019-11-10,<1
2019-11-17,<1
2019-11-24,<1
2019-12-01,<1
2019-12-08,<1
2019-12-15,<1
2019-12-22,<1
2019-12-29,<1
2020-01-05,<1
2020-01-12,<1
2020-01-19,4
2020-01-26,13
2020-02-02,8
2020-02-09,6
2020-02-16,6
2020-02-23,23
2020-03-01,32
2020-03-08,66
2020-03-15,100
2020-03-22,93
2020-03-29,82
2020-04-05,81
2020-04-12,71
2020-04-19,55
2020-04-26,43
2020-05-03,38
2020-05-10,35
2020-05-17,29
2020-05-24,27
2020-05-31,23
2020-06-07,23
2020-06-14,22
2020-06-21,24
2020-06-28,25
2020-07-05,25
2020-07-12,25
2020-07-19,23
2020-07-26,22
2020-08-02,24
2020-08-09,19
2020-08-16,19
2020-08-23,17
2020-08-30,17
2020-09-06,17
2020-09-13,19
2020-09-20,17
2020-09-27,17
2020-10-04,18
2020-10-11,18
2020-10-18,19
2020-10-25,21
2020-11-01,18
2020-11-08,21
2020-11-15,21
2020-11-22,19
2020-11-29,18
2020-12-06,18
2020-12-13,19
2020-12-20,20
2020-12-27,21
2021-01-03,21
2021-01-10,21
2021-01-17,20
2021-01-24,18
2021-01-31,17
2021-02-07,17
2021-02-14,15
2021-02-21,16
2021-02-28,18
2021-03-07,18
2021-03-14,19
2021-03-21,19
2021-03-28,21
2021-04-04,22
2021-04-11,20
2021-04-18,20
2021-04-25,21
2021-05-02,20
2021-05-09,19
2021-05-16,18
2021-05-23,17
2021-05-30,18
2021-06-06,16
2021-06-13,15
2021-06-20,18
2021-06-27,16
2021-07-04,17
2021-07-11,19
2021-07-18,20
2021-07-25,20
2021-08-01,21
2021-08-08,19
2021-08-15,19
2021-08-22,18
2021-08-29,18
2021-09-05,15
2021-09-12,15
2021-09-19,13
2021-09-26,13
2021-10-03,12
2021-10-10,12
2021-10-17,12
2021-10-24,11
2021-10-31,11
2021-11-07,11
2021-11-14,13
2021-11-21,13
2021-11-28,15
2021-12-05,14
2021-12-12,20
2021-12-19,22
2021-12-26,25
2022-01-02,26
2022-01-09,24
2022-01-16,26
2022-01-23,16
2022-01-30,13
2022-02-06,11
2022-02-13,10
2022-02-20,9
2022-02-27,8
2022-03-06,8
2022-03-13,8
2022-03-20,8
2022-03-27,7
2022-04-03,6
2022-04-10,6
2022-04-17,6
2022-04-24,6
2022-05-01,5
2022-05-08,5
2022-05-15,5
2022-05-22,5
2022-05-29,5
2022-06-05,5
2022-06-12,5
2022-06-19,5
2022-06-26,6
2022-07-03,6
2022-07-10,6
2022-07-17,6
2022-07-24,5
2022-07-31,5
2022-08-07,4
2022-08-14,4
2022-08-21,4
2022-08-28,3
2022-09-04,3
2022-09-11,3
2022-09-18,3
2022-09-25,3
